Time: 2023-07-14 20:32:04.697455, Result: No human, Confidence: 0.963302
Time: 2023-07-14 20:32:06.664275, Result: No human, Confidence: 0.961636
Time: 2023-07-14 20:32:14.112355, Result: No human, Confidence: 0.954182
Time: 2023-07-14 20:32:15.875484, Result: No human, Confidence: 0.956637
Time: 2023-07-14 20:32:23.289114, Result: No human, Confidence: 0.972977
Time: 2023-07-14 20:32:25.622819, Result: No human, Confidence: 0.962618
Time: 2023-07-14 20:32:33.234599, Result: No human, Confidence: 0.926932
Time: 2023-07-14 20:32:35.554778, Result: No human, Confidence: 0.920658
Time: 2023-07-14 20:32:42.268707, Result: No human, Confidence: 0.907067
Time: 2023-07-14 20:32:46.443506, Result: No human, Confidence: 0.905532
Time: 2023-07-14 20:32:54.942007, Result: No human, Confidence: 0.894229
Time: 2023-07-14 20:32:56.850749, Result: No human, Confidence: 0.887416
Time: 2023-07-14 20:33:03.525456, Result: No human, Confidence: 0.894988
Time: 2023-07-14 20:33:06.412857, Result: No human, Confidence: 0.897518
Time: 2023-07-14 20:33:14.008170, Result: No human, Confidence: 0.909476
Time: 2023-07-14 20:33:16.019883, Result: No human, Confidence: 0.912409
Time: 2023-07-14 20:33:23.179139, Result: No human, Confidence: 0.918910
Time: 2023-07-14 20:33:25.522018, Result: No human, Confidence: 0.921089
Time: 2023-07-14 20:33:32.251099, Result: No human, Confidence: 0.913162
Time: 2023-07-14 20:33:33.933671, Result: No human, Confidence: 0.913141
Time: 2023-07-14 20:33:40.681012, Result: No human, Confidence: 0.918046
Time: 2023-07-14 20:33:43.940541, Result: No human, Confidence: 0.916721
Time: 2023-07-14 20:33:51.236728, Result: No human, Confidence: 0.908024
Time: 2023-07-14 20:33:53.386718, Result: No human, Confidence: 0.907188
Time: 2023-07-14 20:34:00.801736, Result: No human, Confidence: 0.904666
Time: 2023-07-14 20:34:03.787157, Result: No human, Confidence: 0.908475
Time: 2023-07-14 20:34:11.793193, Result: No human, Confidence: 0.903410
Time: 2023-07-14 20:34:13.723365, Result: No human, Confidence: 0.899046
Time: 2023-07-14 20:34:21.848058, Result: No human, Confidence: 0.904103
Time: 2023-07-14 20:34:25.047277, Result: No human, Confidence: 0.897011
Time: 2023-07-14 20:34:33.305777, Result: No human, Confidence: 0.902267
Time: 2023-07-14 20:34:35.671282, Result: No human, Confidence: 0.909094
Time: 2023-07-14 20:34:44.196629, Result: No human, Confidence: 0.923234
Time: 2023-07-14 20:34:47.332124, Result: No human, Confidence: 0.920550
Time: 2023-07-14 20:34:55.047758, Result: No human, Confidence: 0.919239
Time: 2023-07-14 20:34:58.231789, Result: No human, Confidence: 0.924284
Time: 2023-07-14 20:35:07.236796, Result: No human, Confidence: 0.923018
Time: 2023-07-14 20:35:10.315735, Result: No human, Confidence: 0.926001
Time: 2023-07-14 20:35:17.532240, Result: No human, Confidence: 0.911394
Time: 2023-07-14 20:35:21.445026, Result: No human, Confidence: 0.912279
Time: 2023-07-14 20:35:29.226790, Result: No human, Confidence: 0.977139
Time: 2023-07-14 20:35:31.237635, Result: No human, Confidence: 0.972731
Time: 2023-07-14 20:35:38.104680, Result: No human, Confidence: 0.967275
Time: 2023-07-14 20:35:43.208303, Result: No human, Confidence: 0.959797
Time: 2023-07-14 20:35:50.655309, Result: No human, Confidence: 0.946067
Time: 2023-07-14 20:35:54.566568, Result: No human, Confidence: 0.952716
Time: 2023-07-14 20:36:01.463165, Result: No human, Confidence: 0.969260
Time: 2023-07-14 20:36:03.433425, Result: No human, Confidence: 0.972249
Time: 2023-07-14 20:36:10.978394, Result: No human, Confidence: 0.964296
Time: 2023-07-14 20:36:12.779251, Result: No human, Confidence: 0.958251
Time: 2023-07-14 20:36:19.518694, Result: No human, Confidence: 0.926259
Time: 2023-07-14 20:36:21.896028, Result: No human, Confidence: 0.921773
Time: 2023-07-14 20:36:29.343381, Result: No human, Confidence: 0.915820
Time: 2023-07-14 20:36:31.293073, Result: No human, Confidence: 0.914901
Time: 2023-07-14 20:36:38.275739, Result: No human, Confidence: 0.915925
Time: 2023-07-14 20:36:41.480179, Result: No human, Confidence: 0.912496
Time: 2023-07-14 20:36:48.717313, Result: No human, Confidence: 0.916283
Time: 2023-07-14 20:36:50.666534, Result: No human, Confidence: 0.916929
Time: 2023-07-14 20:36:58.653231, Result: No human, Confidence: 0.914598
Time: 2023-07-14 20:37:03.775629, Result: No human, Confidence: 0.912745
Time: 2023-07-14 20:37:11.082862, Result: No human, Confidence: 0.915164
Time: 2023-07-14 20:37:12.958333, Result: No human, Confidence: 0.915579
Time: 2023-07-14 20:37:19.820678, Result: No human, Confidence: 0.921192
Time: 2023-07-14 20:37:22.819237, Result: No human, Confidence: 0.920571
Time: 2023-07-14 20:37:32.559409, Result: No human, Confidence: 0.923948
Time: 2023-07-14 20:37:34.458327, Result: No human, Confidence: 0.935422
Time: 2023-07-14 20:37:43.099847, Result: No human, Confidence: 0.951154
Time: 2023-07-14 20:37:46.816387, Result: No human, Confidence: 0.955747
Time: 2023-07-14 20:37:53.727818, Result: No human, Confidence: 0.937570
Time: 2023-07-14 20:37:55.613973, Result: No human, Confidence: 0.935583
Time: 2023-07-14 20:38:02.533116, Result: No human, Confidence: 0.921928
Time: 2023-07-14 20:38:06.533163, Result: No human, Confidence: 0.918714
Time: 2023-07-14 20:38:13.473724, Result: No human, Confidence: 0.919130
Time: 2023-07-14 20:38:16.215077, Result: No human, Confidence: 0.918341
Time: 2023-07-14 20:38:23.955816, Result: No human, Confidence: 0.924831
Time: 2023-07-14 20:38:26.221291, Result: No human, Confidence: 0.974363
Time: 2023-07-14 20:38:34.489150, Result: No human, Confidence: 0.988960
Time: 2023-07-14 20:38:36.949753, Result: No human, Confidence: 0.986601
Time: 2023-07-14 20:38:44.398411, Result: No human, Confidence: 0.977349
Time: 2023-07-14 20:38:47.155890, Result: No human, Confidence: 0.971080
Time: 2023-07-14 20:38:57.425296, Result: No human, Confidence: 0.937876
Time: 2023-07-14 20:39:00.533373, Result: No human, Confidence: 0.930578
Time: 2023-07-14 21:09:20.262858, Result: No human, Confidence: 0.993200
Time: 2023-07-14 21:09:23.090711, Result: No human, Confidence: 0.995568
Time: 2023-07-14 21:09:30.811314, Result: No human, Confidence: 0.983228
Time: 2023-07-14 21:09:34.706276, Result: No human, Confidence: 0.978476
Time: 2023-07-14 21:09:44.040914, Result: No human, Confidence: 0.975880
Time: 2023-07-14 21:09:46.468547, Result: No human, Confidence: 0.982718
Time: 2023-07-14 21:09:53.728697, Result: No human, Confidence: 0.977845
Time: 2023-07-14 21:09:56.283646, Result: No human, Confidence: 0.971582
Time: 2023-07-14 21:10:04.104708, Result: No human, Confidence: 0.978848
Time: 2023-07-14 21:10:06.123877, Result: No human, Confidence: 0.982338
Time: 2023-07-14 21:10:13.244951, Result: No human, Confidence: 0.984185
Time: 2023-07-14 21:10:16.559524, Result: No human, Confidence: 0.980840
Time: 2023-07-14 21:10:23.836353, Result: No human, Confidence: 0.983982
Time: 2023-07-14 21:10:26.261183, Result: No human, Confidence: 0.985837
Time: 2023-07-14 21:10:34.079481, Result: No human, Confidence: 0.994951
Time: 2023-07-14 21:10:36.519406, Result: No human, Confidence: 0.995096
Time: 2023-07-14 21:10:43.671335, Result: No human, Confidence: 0.989562
Time: 2023-07-14 21:10:45.876161, Result: No human, Confidence: 0.988548
Time: 2023-07-14 21:10:52.942230, Result: No human, Confidence: 0.987668
Time: 2023-07-14 21:10:56.202584, Result: No human, Confidence: 0.985997
Time: 2023-07-14 21:11:03.486859, Result: No human, Confidence: 0.984847
Time: 2023-07-14 21:11:05.622943, Result: No human, Confidence: 0.981815
